Owner,Name,Stars,IdadeMeses,PRsMes,ReleasesMes,DiasDesdeAtualizacao,LinguagemPrincipal,TotalIssues,ClosedIssues,PercentualIssuesFechadas
DuGuQiuBai,Java,13667,118,0.00,0.00,0,Java,70,19,27.14
lgvalle,Material-Animations,13631,126,0.10,0.00,0,Java,44,28,63.64
janishar,mit-deep-learning-book-pdf,13565,101,0.06,0.03,0,Java,18,6,33.33
cryptomator,cryptomator,13563,139,3.26,1.39,0,Java,2336,2071,88.66
tink-crypto,tink,13555,135,1.00,0.16,0,Java,469,469,100.00
LuckSiege,PictureSelector,13544,104,0.12,1.12,0,Java,2926,2389,81.65
languagetool-org,languagetool,13503,145,32.17,0.00,0,Java,6026,4029,66.86
Bigkoo,Android-PickerView,13482,129,0.25,0.00,0,Java,955,537,56.23
kekingcn,kkFileView,13287,93,1.85,0.17,0,Java,416,92,22.12
projectlombok,lombok,13257,195,1.98,0.00,0,Java,3341,2410,72.13
macrozheng,mall-learning,13247,77,0.00,0.00,1,Java,89,84,94.38
youth5201314,banner,13039,113,0.13,0.00,0,Java,1224,1182,96.57
pxb1988,dex2jar,12891,126,0.19,0.06,0,Java,591,215,36.38
ashishps1,awesome-leetcode-resources,12790,23,0.35,0.00,0,Java,10,5,50.00
Netflix,conductor,12776,105,11.50,3.04,0,Java,1577,1429,90.62
facebook,stetho,12710,128,2.10,0.10,0,Java,378,314,83.07
codecentric,spring-boot-admin,12672,134,19.02,1.01,0,Java,1744,1709,97.99
google,guice,12668,136,2.62,0.14,0,Java,1199,861,71.81
alibaba,COLA,12634,91,1.10,0.12,0,Java,339,271,79.94
greenrobot,greenDAO,12631,167,0.22,0.05,0,Java,992,797,80.34
